submitted_by_user_login,submission_timestamp_utc,demographic_age,demographic_country,attention_check_passed,item_id,item_type,description,sentences,combined_text,code_key,entity,seed,descriptor,intensity,all_entities,packet_step,user_sentiment_score,user_sentiment_label,sentence_at_step,new_sentence_for_step,descriptor_for_step,intensity_for_step,mark,marks
anonymous,2025-08-12 17:40:22,,,TRUE,calibration_positive,calibration,practice positive,"[""the sensible person""]",the sensible person,calibration_pos[[the sensible person_slight]],the sensible person,491329,"[""positive""]","[""slight""]","[""the sensible person""]",,2,Somewhat Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,calibration_negative,calibration,practice negative,"[""forgot""]",forgot,calibration_neg[[forgot_slight]],forgot,491329,"[""negative""]","[""slight""]","[""forgot""]",,-1,Slightly Negative,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_6,compound_association,Intra-sentence same polarity association (second valence set),"[""Peyton, the skillful and talented person, and Kendall, the happy and cheerful person, ate together every weekend.""]","Peyton, the skillful and talented person, and Kendall, the happy and cheerful person, ate together every weekend.",actor[[Peyton_strong]]+actor[[Kendall_very]]->verb[[ate_neutral]],Peyton,491329,"[""positive"", ""positive"", ""neutral""]","[""strong"", ""very"", ""neutral""]","[""Peyton"", ""Kendall""]",,3,Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,compound_association_6,compound_association,Intra-sentence same polarity association (second valence set),"[""Peyton, the skillful and talented person, and Kendall, the happy and cheerful person, ate together every weekend.""]","Peyton, the skillful and talented person, and Kendall, the happy and cheerful person, ate together every weekend.",actor[[Peyton_strong]]+actor[[Kendall_very]]->verb[[ate_neutral]],Kendall,491329,"[""positive"", ""positive"", ""neutral""]","[""strong"", ""very"", ""neutral""]","[""Peyton"", ""Kendall""]",,3,Positive,,,,,,
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",1,2,Somewhat Positive,"At the start, the program was practical.","At the start, the program was practical.",positive,slight,At the start,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",2,3,Positive,"At the start, the program was practical. Following that, it was generally good.","Following that, it was generally good.",positive,strong,Following that,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",3,3,Positive,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant.","Afterwards, it was pleasant.",positive,moderate,Afterwards,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",4,-2,Somewhat Negative,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific.","Later, it was horrific.",negative,very,Later,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",5,-2,Somewhat Negative,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak.","Then, it was weak.",negative,moderate,Then,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
anonymous,2025-08-12 17:40:22,,,TRUE,aggregate_long_14,aggregate_long,Aggregate packet (9),"[""At the start, the program was practical."", ""Following that, it was generally good."", ""Afterwards, it was pleasant."", ""Later, it was horrific."", ""Then, it was weak."", ""Subsequently, it was ordinary."", ""Eventually, it was unhealthy."", ""Finally, it was pathetic."", ""Currently, it is excellent.""]","At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary. Eventually, it was unhealthy. Finally, it was pathetic. Currently, it is excellent.",entity[[program_slight]]->entity[[program_strong]]->entity[[program_moderate]]->entity[[program_very]]->entity[[program_moderate]]->entity[[program_slight]]->entity[[program_strong]]->entity[[program_very]]->entity[[program_very]],program,491329,"[""positive"", ""positive"", ""positive"", ""negative"", ""negative"", ""negative"", ""negative"", ""negative"", ""positive""]","[""slight"", ""strong"", ""moderate"", ""very"", ""moderate"", ""slight"", ""strong"", ""very"", ""very""]","[""program""]",6,0,Neutral,"At the start, the program was practical. Following that, it was generally good. Afterwards, it was pleasant. Later, it was horrific. Then, it was weak. Subsequently, it was ordinary.","Subsequently, it was ordinary.",negative,slight,Subsequently,"[""At the start"", ""Following that"", ""Afterwards"", ""Later"", ""Then"", ""Subsequently"", ""Eventually"", ""Finally"", ""Currently""]"
